SEXO                            ,EDAD                            ,MES                             ,ESTATURA                        ,PESO                            ,POLITICA                        ,DIGITO                          ,RESIDENCIA                      ,TRANSPORTE                      ,TIEMPO                          ,PROBLEMA                        ,Col_12                          ,Col_13                          ,Col_14                          ,Col_15                          ,Col_16                          ,Col_17                          ,Col_18                          ,Col_19                          ,Col_20                          
chicos               ,24            ,12            ,172           ,75            ,derecha              ,3             ,piso                 ,a pie                ,18            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,4             ,182           ,74            ,derecha              ,8             ,familia              ,coche                ,12            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,26            ,2             ,175           ,63            ,centro               ,7             ,piso                 ,a pie                ,16            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,8             ,165           ,62            ,izquierda            ,5             ,familia              ,coche                ,40            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,4             ,160           ,55            ,izquierda            ,4             ,piso                 ,t publico            ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,1             ,175           ,76            ,pasan                ,6             ,familia              ,moto/bici            ,12            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,1             ,180           ,72            ,centro               ,3             ,familia              ,moto/bici            ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,1             ,171           ,75            ,centro               ,8             ,piso                 ,a pie                ,15            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,7             ,172           ,66            ,izquierda            ,3             ,piso                 ,a pie                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,179           ,69            ,centro               ,6             ,piso                 ,a pie                ,25            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,10            ,190           ,70            ,izquierda            ,6             ,familia              ,t publico            ,90            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,173           ,70            ,izquierda            ,6             ,familia              ,coche                ,51            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,3             ,170           ,60            ,pasan                ,9             ,piso                 ,a pie                ,10            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,178           ,90            ,derecha              ,5             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,8             ,179           ,75            ,derecha              ,7             ,familia              ,coche                ,20            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,10            ,196           ,85            ,derecha              ,5             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,8             ,168           ,55            ,pasan                ,7             ,familia              ,a pie                ,27            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,9             ,155           ,45            ,derecha              ,1             ,familia              ,a pie                ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,8             ,168           ,56            ,centro               ,5             ,familia              ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,10            ,152           ,51            ,izquierda            ,6             ,otra                 ,t publico            ,50            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,191           ,86            ,centro               ,3             ,piso                 ,a pie                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,3             ,183           ,69            ,izquierda            ,8             ,familia              ,t publico            ,25            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,6             ,163           ,47            ,izquierda            ,7             ,familia              ,t publico            ,45            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,185           ,72            ,derecha              ,8             ,otra                 ,coche                ,10            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,2             ,192           ,77            ,pasan                ,3             ,piso                 ,coche                ,35            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,7             ,175           ,68            ,derecha              ,6             ,familia              ,                     ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,10            ,166           ,54            ,centro               ,5             ,familia              ,t publico            ,45            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
